month,measured,simulated,residual,residual_pct,coverage_fraction,complete
2020-01,29983.86071470325,31134.495799081844,1150.635084378595,3.837514772786933,1.0,True
2020-02,31304.200529846,27314.299709301235,-3989.9008205447644,-12.74557648179106,1.0,True
2020-03,28715.1939967645,26642.46457000464,-2072.7294267598627,-7.218232365044821,1.0,True
2020-04,26328.64875505275,26427.544939574855,98.89618452210561,0.37562195250573344,1.0,True
2020-05,30400.9894439275,27771.48990969544,-2629.4995342320617,-8.649388004564752,1.0,True
2020-06,27765.65509772675,29476.649561628095,1710.9944639013447,6.162269385970397,1.0,True
2020-07,29295.87609852225,29800.994598803216,505.11850028096524,1.7241966022188513,1.0,True
2020-08,36525.4946475485,26677.288187031194,-9848.206460517304,-26.962554663659542,1.0,True
2020-09,30919.37897605825,29393.43635952346,-1525.9426165347904,-4.935230483498297,1.0,True
2020-10,29326.304170576,29098.438845061275,-227.86532551472555,-0.776999802598208,1.0,True
2020-11,20918.76629411825,24483.308675720462,3564.542381602212,17.03992640619757,1.0,True
2020-12,21434.990156238,25114.295999861446,3679.305843623446,17.164952336368096,1.0,True
